38	50	U22376	X59417	U05259	M92287	M31211	X74262	D26156	S50223	M31523	L47738	U32944	Z15115	X13949	X63469	M91432	U29175	Z69881	U20998	D38073	U26266	M31303	Y08612	U35451	M29696	M13792	M55150	X95735	U50136	M16038	U82759	M23197	M84526	Y12670	M27891	X17042	Y00787	M96326	U46751	M80254	L08246	M62762	M28130	M63138	M57710	M69043	M81695	X85116	M19045	M83652	X04085
sample_12	ALL	551.0	846.0	2504.0	2056.0	334.0	209.0	329.0	90.0	474.0	140.0	277.0	1277.0	-2.0	43.0	76.0	219.0	291.0	426.0	314.0	60.0	2290.0	119.0	15.0	363.0	1695.0	412.0	408.0	747.0	399.0	15.0	287.0	41.0	258.0	107.0	5252.0	3684.0	1296.0	1347.0	267.0	2095.0	1030.0	1855.0	1763.0	988.0	7901.0	494.0	530.0	3939.0	252.0	294.0	0
sample_25	ALL	1872.0	3878.0	5070.0	1689.0	481.0	489.0	738.0	301.0	553.0	223.0	1081.0	2242.0	163.0	162.0	363.0	404.0	892.0	498.0	521.0	166.0	2910.0	292.0	116.0	5653.0	2425.0	842.0	700.0	1171.0	50.0	267.0	203.0	-203.0	402.0	-229.0	3711.0	9270.0	502.0	1395.0	13.0	635.0	933.0	4271.0	1371.0	560.0	14011.0	439.0	559.0	515.0	-49.0	747.0	1
sample_34	AML	1126.0	782.0	711.0	498.0	153.0	279.0	302.0	56.0	299.0	12.0	427.0	2271.0	35.0	181.0	263.0	454.0	784.0	407.0	238.0	282.0	1647.0	200.0	208.0	517.0	911.0	1811.0	2947.0	2402.0	1674.0	652.0	1450.0	4830.0	1807.0	1537.0	8518.0	8054.0	13464.0	4719.0	59.0	3127.0	3236.0	3693.0	5587.0	394.0	13338.0	1702.0	727.0	4259.0	1338.0	5878.0	2
sample_35	AML	880.0	490.0	654.0	165.0	19.0	336.0	201.0	168.0	389.0	218.0	288.0	1082.0	79.0	74.0	226.0	391.0	406.0	529.0	382.0	43.0	2195.0	86.0	57.0	459.0	2551.0	1406.0	1050.0	2137.0	735.0	262.0	781.0	-312.0	1038.0	1481.0	3628.0	216.0	1233.0	1106.0	72.0	853.0	1125.0	-45.0	3909.0	72.0	2306.0	1137.0	1639.0	2517.0	565.0	2140.0	0
sample_36	AML	473.0	1648.0	-14.0	1309.0	88.0	194.0	667.0	-73.0	126.0	8.0	295.0	2007.0	71.0	202.0	87.0	412.0	118.0	697.0	245.0	64.0	1885.0	209.0	214.0	268.0	1297.0	1707.0	4863.0	3965.0	2727.0	618.0	970.0	4573.0	1051.0	17863.0	10603.0	17022.0	7955.0	5868.0	692.0	6159.0	4647.0	11517.0	12358.0	5940.0	21135.0	2014.0	1096.0	15519.0	2892.0	5162.0	2
sample_37	AML	186.0	528.0	218.0	852.0	139.0	130.0	697.0	-53.0	190.0	-80.0	224.0	802.0	14.0	4.0	183.0	393.0	43.0	786.0	267.0	-44.0	1359.0	253.0	149.0	607.0	753.0	2072.0	2612.0	2539.0	2399.0	805.0	408.0	6759.0	1064.0	13296.0	8479.0	19361.0	9933.0	6903.0	672.0	5503.0	3808.0	12979.0	7125.0	6247.0	12115.0	2683.0	3397.0	13221.0	157.0	2887.0	2
sample_38	AML	680.0	99.0	251.0	1484.0	75.0	51.0	721.0	62.0	275.0	201.0	230.0	939.0	64.0	-25.0	111.0	286.0	214.0	845.0	342.0	-179.0	1291.0	199.0	195.0	448.0	2708.0	1753.0	1671.0	2286.0	784.0	673.0	275.0	1569.0	2538.0	1661.0	1285.0	10043.0	2676.0	7061.0	307.0	2083.0	3594.0	5072.0	2275.0	6530.0	5902.0	974.0	4465.0	2702.0	-245.0	4681.0	0
sample_28	AML	794.0	1203.0	-2.0	1283.0	300.0	596.0	893.0	107.0	353.0	449.0	384.0	1238.0	64.0	28.0	323.0	429.0	172.0	824.0	832.0	151.0	2176.0	292.0	209.0	485.0	2493.0	1929.0	2224.0	1641.0	679.0	822.0	316.0	-21.0	733.0	1073.0	7858.0	15202.0	548.0	7113.0	373.0	6718.0	2702.0	10476.0	4214.0	159.0	13895.0	1147.0	2274.0	2475.0	1179.0	3077.0	1
sample_29	AML	1312.0	1561.0	412.0	1525.0	237.0	309.0	624.0	150.0	279.0	65.0	179.0	967.0	35.0	178.0	125.0	314.0	371.0	1174.0	294.0	66.0	1486.0	151.0	29.0	185.0	487.0	1647.0	3348.0	2545.0	1305.0	1137.0	555.0	6569.0	1296.0	6962.0	8859.0	3104.0	19615.0	3717.0	550.0	1766.0	1736.0	1653.0	2558.0	5824.0	1908.0	478.0	2195.0	3605.0	868.0	6000.0	2
sample_30	AML	485.0	1628.0	343.0	811.0	100.0	313.0	388.0	-1.0	250.0	172.0	651.0	1365.0	-5.0	12.0	158.0	208.0	292.0	440.0	148.0	-49.0	730.0	173.0	160.0	281.0	769.0	2112.0	6218.0	3818.0	2694.0	1050.0	1130.0	7372.0	647.0	14555.0	11003.0	6506.0	9994.0	11618.0	425.0	4915.0	3553.0	2971.0	8793.0	7142.0	11990.0	2279.0	478.0	6268.0	1537.0	5065.0	2
sample_31	AML	408.0	1784.0	272.0	1032.0	192.0	275.0	432.0	31.0	381.0	239.0	469.0	1568.0	23.0	115.0	295.0	385.0	248.0	651.0	309.0	-36.0	3719.0	119.0	223.0	444.0	1614.0	1555.0	1548.0	2943.0	1028.0	1157.0	1338.0	4833.0	1085.0	7238.0	5849.0	2096.0	7791.0	1262.0	82.0	2056.0	3255.0	688.0	4630.0	499.0	9866.0	754.0	983.0	7035.0	1675.0	7260.0	2
sample_32	AML	1047.0	1214.0	306.0	1024.0	339.0	311.0	706.0	210.0	671.0	683.0	328.0	1843.0	59.0	136.0	368.0	688.0	618.0	660.0	259.0	192.0	1985.0	185.0	293.0	438.0	4148.0	1514.0	3297.0	2535.0	2680.0	1083.0	774.0	141.0	1467.0	12339.0	3259.0	12715.0	976.0	3088.0	619.0	4136.0	4249.0	7108.0	7373.0	1853.0	10899.0	978.0	1017.0	7969.0	657.0	2027.0	2
sample_33	AML	335.0	1583.0	19.0	1827.0	59.0	19.0	736.0	-94.0	200.0	153.0	133.0	936.0	33.0	63.0	110.0	248.0	-203.0	580.0	256.0	-303.0	1528.0	172.0	73.0	1068.0	1446.0	2693.0	3482.0	1373.0	3223.0	1099.0	443.0	2000.0	1513.0	3654.0	8855.0	21147.0	4108.0	5749.0	864.0	4126.0	1871.0	13176.0	2771.0	6704.0	14090.0	1690.0	1999.0	13195.0	562.0	3072.0	2
sample_1	ALL	3105.0	3016.0	9326.0	4778.0	601.0	1372.0	1595.0	268.0	1320.0	571.0	3349.0	8444.0	277.0	460.0	767.0	1582.0	1766.0	1753.0	994.0	289.0	3828.0	517.0	408.0	3863.0	3221.0	654.0	298.0	1124.0	365.0	393.0	261.0	-283.0	600.0	303.0	177.0	333.0	782.0	1298.0	-88.0	543.0	835.0	292.0	1410.0	-115.0	1489.0	695.0	162.0	382.0	-70.0	1057.0	3
sample_2	ALL	1118.0	3424.0	895.0	2700.0	435.0	1184.0	822.0	346.0	898.0	2893.0	1002.0	1920.0	104.0	151.0	814.0	624.0	2015.0	1602.0	539.0	288.0	3021.0	351.0	633.0	511.0	10954.0	1283.0	307.0	1062.0	624.0	118.0	101.0	-65.0	337.0	1358.0	3460.0	5345.0	368.0	1379.0	109.0	2972.0	3072.0	2062.0	2325.0	2171.0	6084.0	812.0	169.0	3606.0	364.0	1395.0	0
